date and Time;CO;SO2;H2S;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-01 15:39:40;0.0;-0.61;0.0;-11.909350323433326;22.6;27.2;25.797162728762487;99640.31081478349;0.0;463.0338263174198
2021-08-01 15:56:30;0.01;-0.95;0.0;-32.03062883577838;22.6;29.6;25.797162728762487;99640.31081478349;0.0;463.0338263174198
2021-08-01 16:40:07;-0.1;-1.34;-7.338087068265005;-8.04214221919997;20.0;25.5;20.370965309464374;99692.4710634509;0.0;448.6029251532425
2021-08-01 16:50:16;-0.1;-1.31;3.6037291824988613;-7.939566882288902;16.5;21.7;20.370965309464374;99692.4710634509;0.0;448.6029251532425
2021-08-02 22:44:16;0.0;2.55;7.122926017491105;31.623816469542927;33.1;37.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 22:54:21;5.2;2.25;6.999781096326081;31.227208132675376;32.3;37.8;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:04:31;2.07;0.01;6.959673587456966;15.548603417769778;32.7;37.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:14:36;1.29;0.07;6.959673587456966;3.8710354327442347;32.5;37.7;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:24:41;1.18;-0.09;6.959673587456966;-7.742070865488577;33.0;38.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:34:46;1.04;-0.21;6.920023077940513;-0.0;32.7;37.6;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:44:51;0.0;-0.17;6.920023077940513;-7.742070865488577;32.6;37.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-02 23:54:56;1.08;-0.07;6.920023077940513;7.742070865488524;31.9;37.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:05:02;0.0;29.01;6.920023077940513;15.484141730977022;32.1;37.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:15:07;1.03;-0.12;6.920023077940513;3.8710354327442347;31.8;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:25:12;0.02;-0.19;6.920023077940513;-0.0;31.6;35.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:35:17;0.87;-0.3;7.040353551190193;3.9034010165843913;31.7;35.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:45:23;4.31;0.0;7.081399084008571;3.936312378550069;32.0;36.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 00:55:28;3.77;1.71;6.959673587456966;3.8871508544424236;31.6;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:05:33;0.0;-0.06;6.959673587456966;-0.0;32.2;37.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:15:38;0.95;-0.37;6.920023077940513;3.8710354327442347;32.3;36.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:26:17;13.01;0.03;6.920023077940513;15.484141730977022;32.0;36.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:36:22;1.01;0.0;6.920023077940513;-7.742070865488577;31.0;35.6;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:46:28;0.73;-0.48;6.920023077940513;-7.710106165161246;30.8;34.6;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 01:56:33;0.71;-0.49;6.920023077940513;-7.710106165161246;31.5;36.7;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:06:38;0.83;0.03;6.920023077940513;-7.710106165161246;31.7;36.9;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:16:43;0.91;-0.46;6.920023077940513;-7.710106165161246;31.8;36.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:26:48;0.93;-0.45;6.920023077940513;-7.710106165161246;31.7;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:36:53;0.91;-0.49;6.920023077940513;-7.710106165161246;32.1;37.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:46:58;0.97;-0.44;6.920023077940513;-7.710106165161246;32.0;37.8;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 02:57:03;0.97;-0.44;6.920023077940513;-7.710106165161246;32.6;38.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 03:07:07;0.89;-0.45;7.164942870724336;-0.0;32.4;39.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 03:17:12;0.03;0.02;10.941031813898274;4.003828604472264;32.2;37.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 03:27:18;0.06;-1.58;7.040353551190193;-3.9197876161039806;31.3;37.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 03:37:23;2.66;-0.1;6.999781096326081;-0.0;31.4;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 03:47:28;0.06;-0.13;6.959673587456966;7.774301708884902;31.9;36.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
