date and Time;CO;SO2;O3;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-01 18:52:28;27.96;4.18;0.04;0.0;68.6;95.6;27.108907054929297;99763.71255011426;0.0;428.9027927125959
2021-08-02 21:50:25;0.07;0.65;0.04;0.0;57.4;89.5;0;0;0;0
2021-08-02 22:00:44;11.59;0.77;0.39;0.82;58.6;90.9;0;0;0;0
2021-08-02 22:10:48;0.03;0.61;0.4;0.84;57.5;91.3;0;0;0;0
2021-08-02 22:20:53;0.03;0.72;0.39;0.65;57.6;90.5;0;0;0;0
2021-08-02 22:30:59;8.8;0.0;0.31;0.67;58.0;87.3;0;0;0;0
2021-08-02 22:41:03;13.82;0.03;0.32;0.85;58.5;85.0;0;0;0;0
2021-08-02 22:51:07;8.54;1.12;0.25;0.76;58.2;85.3;0;0;0;0
2021-08-02 23:01:11;9.72;0.58;0.24;0.73;58.2;90.4;0;0;0;0
2021-08-02 23:11:16;14.09;0.48;0.36;0.74;59.9;94.8;0;0;0;0
2021-08-02 23:21:20;0.03;0.49;0.56;0.68;60.6;98.9;0;0;0;0
2021-08-02 23:31:29;0.03;0.5;0.71;0.73;60.0;95.6;0;0;0;0
2021-08-02 23:41:34;14.11;0.36;0.89;0.04;60.7;95.9;0;0;0;0
2021-08-02 23:51:39;0.0;0.45;1.03;0.84;62.1;96.8;0;0;0;0
2021-08-03 00:01:43;10.42;0.54;0.02;0.83;60.3;93.4;0;0;0;0
2021-08-03 00:11:47;0.03;0.61;0.92;0.81;57.2;85.6;0;0;0;0
2021-08-03 00:21:53;14.15;0.21;0.93;0.03;55.4;83.4;0;0;0;0
2021-08-03 00:31:58;0.0;0.45;0.93;0.8;56.2;85.3;0;0;0;0
2021-08-03 00:42:04;0.0;0.07;0.96;0.81;57.1;90.8;0;0;0;0
2021-08-03 00:52:09;7.54;0.46;0.0;0.76;56.1;88.3;0;0;0;0
2021-08-03 01:02:13;8.38;0.28;0.76;0.73;56.4;86.7;0;0;0;0
2021-08-03 01:12:17;9.52;0.38;0.8;0.61;55.5;83.7;0;0;0;0
2021-08-03 01:22:34;9.46;0.28;0.81;0.78;55.6;84.7;0;0;0;0
2021-08-03 01:32:44;9.71;0.07;0.84;0.72;55.4;82.6;0;0;0;0
2021-08-03 01:42:50;9.67;29.53;0.88;0.78;57.4;85.9;0;0;0;0
2021-08-03 01:52:54;9.47;0.18;32.1;0.78;58.2;86.7;0;0;0;0
2021-08-03 02:02:58;0.0;0.25;0.93;0.8;60.1;90.4;0;0;0;0
2021-08-03 02:13:03;9.45;0.03;0.92;0.79;61.7;91.3;0;0;0;0
2021-08-03 02:23:08;10.15;0.27;0.02;0.77;60.2;90.6;0;0;0;0
2021-08-03 02:33:13;0.03;0.32;0.97;0.81;59.3;91.1;0;0;0;0
2021-08-03 02:43:18;9.82;0.0;1.0;0.84;56.7;87.7;0;0;0;0
2021-08-03 02:53:23;9.61;40.25;38.78;0.86;55.3;84.9;0;0;0;0
