date and Time;CO;SO2;O3;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-01 18:53:27;7.71;2.81;0.0;0.0;62.3;90.1;27.25044853678555;99735.37232698817;0.0;436.73824005185475
2021-08-01 23:58:44;13.34;7.2;0.0;0.0;12.3;19.3;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:08:48;10.53;5.16;0.06;0.99;12.5;18.4;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:18:53;8.21;3.98;0.68;0.0;12.7;17.8;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:29:00;6.93;3.52;0.08;0.61;13.1;18.8;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:39:06;6.49;3.06;0.69;0.49;13.0;18.4;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:49:20;6.06;3.19;27.83;0.6;13.2;18.4;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 00:59:24;6.97;3.04;1.07;0.56;13.0;18.0;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 01:09:29;5.63;2.82;0.01;0.66;13.0;17.9;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 01:19:35;4.5;2.81;1.03;27.9;13.1;16.6;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 01:29:51;5.56;2.67;0.02;0.03;13.4;16.3;25.999264550727094;99894.92271723435;0.0;392.6495433999938
2021-08-02 22:12:57;6.6;1.03;0.0;0.0;47.5;73.2;0;0;0;0
2021-08-02 22:23:02;6.59;1.51;38.19;1.05;47.1;73.0;0;0;0;0
2021-08-02 22:33:11;5.61;1.85;1.07;1.03;48.7;75.0;0;0;0;0
2021-08-02 22:43:15;6.13;1.8;1.46;1.1;49.1;75.5;0;0;0;0
2021-08-02 22:53:18;6.42;0.03;1.34;0.92;47.8;73.4;0;0;0;0
2021-08-02 23:03:24;6.08;0.03;28.76;0.01;46.8;71.6;0;0;0;0
2021-08-02 23:13:29;6.91;1.38;1.47;0.94;47.4;70.7;0;0;0;0
2021-08-02 23:23:33;6.83;1.31;1.49;0.0;48.4;72.2;0;0;0;0
2021-08-02 23:33:39;6.81;29.36;1.5;29.44;48.5;72.7;0;0;0;0
2021-08-02 23:43:43;0.03;1.32;1.46;0.03;47.8;73.6;0;0;0;0
2021-08-02 23:53:47;7.67;1.33;1.5;1.14;47.3;70.5;0;0;0;0
2021-08-03 00:03:52;7.29;0.04;1.39;0.03;46.3;68.9;0;0;0;0
2021-08-03 00:13:57;7.24;1.18;42.51;1.2;46.3;67.1;0;0;0;0
2021-08-03 00:24:00;6.51;0.03;1.43;1.24;45.9;68.9;0;0;0;0
2021-08-03 00:34:15;6.12;29.47;0.08;1.24;46.1;71.0;0;0;0;0
2021-08-03 00:44:20;0.02;0.33;1.46;1.17;45.9;70.3;0;0;0;0
2021-08-03 00:54:24;5.42;1.33;31.8;1.15;45.4;69.5;0;0;0;0
2021-08-03 01:04:29;0.06;0.0;1.49;1.12;44.9;66.4;0;0;0;0
2021-08-03 01:14:33;5.99;0.0;1.48;1.1;44.7;65.4;0;0;0;0
2021-08-03 01:25:22;5.71;0.88;1.45;1.14;45.5;66.4;0;0;0;0
2021-08-03 01:35:25;5.65;0.83;1.45;1.11;45.1;66.8;0;0;0;0
2021-08-03 01:45:30;0.07;0.76;1.5;0.02;45.4;65.8;0;0;0;0
2021-08-03 01:55:34;6.2;0.78;1.49;1.23;44.9;67.6;0;0;0;0
2021-08-03 02:05:38;5.21;0.83;1.52;1.15;44.4;68.2;0;0;0;0
2021-08-03 02:15:41;5.92;0.65;1.48;1.19;44.1;69.2;0;0;0;0
2021-08-03 02:25:46;13.81;0.71;1.45;1.22;43.8;67.6;0;0;0;0
2021-08-03 02:35:50;5.64;0.72;1.48;1.18;43.5;67.7;0;0;0;0
2021-08-03 02:45:54;5.95;0.7;1.48;1.18;43.0;65.6;0;0;0;0
2021-08-03 02:55:58;40.38;0.55;1.48;1.28;43.0;67.1;0;0;0;0
2021-08-03 03:06:02;5.65;0.68;1.46;1.24;42.8;65.7;0;0;0;0
2021-08-03 03:16:06;5.25;0.56;1.28;1.24;42.5;62.5;0;0;0;0
2021-08-03 03:26:10;4.26;34.17;1.27;1.07;42.2;63.7;0;0;0;0
2021-08-03 03:36:15;4.68;0.91;1.47;0.06;42.6;65.3;0;0;0;0
2021-08-03 03:46:22;0.03;29.2;1.47;1.0;42.1;65.1;0;0;0;0
2021-08-03 03:56:27;4.85;0.68;1.5;29.31;41.4;62.9;0;0;0;0
2021-08-03 04:06:31;5.06;0.74;1.52;1.05;41.5;61.8;0;0;0;0
2021-08-03 04:16:34;5.12;0.59;1.5;1.11;42.2;61.1;0;0;0;0
2021-08-03 04:26:39;5.07;0.69;0.04;0.06;41.3;61.6;0;0;0;0
2021-08-03 04:36:43;4.87;0.69;1.49;1.16;41.4;63.3;0;0;0;0
2021-08-03 04:46:47;5.24;0.66;1.5;1.17;41.0;63.5;0;0;0;0
2021-08-03 04:56:51;4.78;0.62;0.03;1.22;40.4;63.1;0;0;0;0
2021-08-03 05:06:55;4.82;0.58;1.46;1.19;40.9;64.5;0;0;0;0
2021-08-03 05:17:01;13.75;34.96;1.44;1.25;40.8;63.4;0;0;0;0
2021-08-03 05:27:05;5.12;0.57;0.01;1.22;41.6;62.9;0;0;0;0
2021-08-03 05:37:09;5.59;0.58;1.41;1.28;40.3;60.5;0;0;0;0
2021-08-03 05:47:13;5.53;0.57;1.44;0.03;39.8;61.2;0;0;0;0
2021-08-03 05:57:17;5.2;0.44;0.06;1.14;39.3;59.9;0;0;0;0
2021-08-03 06:07:22;5.13;0.45;1.46;0.07;39.9;59.7;0;0;0;0
2021-08-03 06:17:26;5.18;29.44;1.44;1.18;39.6;59.9;0;0;0;0
2021-08-03 06:27:30;4.88;0.48;0.03;1.22;39.5;60.8;0;0;0;0
2021-08-03 06:37:34;4.59;0.44;1.45;1.14;39.2;60.9;0;0;0;0
2021-08-03 06:47:39;29.34;0.4;1.44;1.2;39.9;61.5;0;0;0;0
2021-08-03 06:57:42;5.48;0.4;0.03;1.18;39.9;63.6;0;0;0;0
2021-08-03 07:07:47;5.41;0.48;0.03;0.03;39.3;62.9;0;0;0;0
2021-08-03 07:17:51;5.39;0.43;1.44;1.24;38.9;61.6;0;0;0;0
2021-08-03 07:27:55;5.34;0.4;1.41;1.22;38.4;59.8;0;0;0;0
2021-08-03 07:38:00;5.36;0.41;1.43;1.14;38.5;60.7;0;0;0;0
2021-08-03 07:48:04;5.09;0.46;0.0;1.25;29.2;47.9;0;0;0;0
2021-08-03 07:58:12;0.03;0.38;0.01;1.2;25.7;42.5;0;0;0;0
2021-08-03 08:08:16;5.35;0.37;1.42;1.21;24.3;34.6;0;0;0;0
2021-08-03 08:18:20;5.62;0.27;1.43;1.21;31.5;47.3;0;0;0;0
2021-08-03 08:28:28;5.46;0.23;1.43;1.18;31.2;49.7;0;0;0;0
2021-08-03 08:38:34;5.81;0.24;1.47;1.21;23.6;38.5;0;0;0;0
2021-08-03 08:48:38;5.33;0.32;1.41;1.2;22.1;34.6;0;0;0;0
2021-08-03 08:58:43;5.46;0.27;0.03;38.38;24.1;38.5;0;0;0;0
