date and Time;CO;SO2;O3;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-01 19:42:30;0.0;50.07;43.19;42.91;14.6;22.3;26.430177924834425;99949.6211239061;0.0;377.5478099049476
2021-08-01 23:46:00;12.73;50.38;4.73;3.19;14.7;21.1;26.430177924834425;99949.6211239061;0.0;377.5478099049476
2021-08-01 23:48:23;0.04;10.12;0.0;0.0;12.1;15.7;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:08:41;10.68;6.23;43.87;0.79;12.7;16.8;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:18:45;0.0;4.77;0.51;0.58;12.6;18.1;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:28:49;7.92;4.09;0.38;0.54;12.3;19.4;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:38:55;6.0;3.78;0.24;0.41;12.4;21.2;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:48:59;7.03;3.76;0.38;0.54;12.6;21.7;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 00:59:05;7.65;3.92;0.03;0.44;13.0;21.6;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 01:09:10;6.33;3.58;0.0;0.44;12.5;19.0;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 01:19:14;6.52;3.57;0.31;0.5;12.3;17.4;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 01:29:18;6.0;3.42;0.29;0.04;12.5;20.7;25.840769377187826;99895.93255283493;0.0;392.3706762997543
2021-08-02 22:26:10;0.04;2.78;0.0;0.0;39.4;61.6;0;0;0;0
2021-08-02 22:36:29;7.68;3.07;0.37;0.3;40.1;62.2;0;0;0;0
2021-08-02 22:46:33;6.67;1.89;0.28;0.32;19.8;36.0;0;0;0;0
2021-08-02 22:56:44;6.43;1.74;0.37;0.39;27.3;62.3;0;0;0;0
2021-08-02 23:06:56;7.91;1.66;0.42;32.55;27.5;38.0;0;0;0;0
2021-08-02 23:17:06;7.48;1.67;0.51;0.41;28.6;44.3;0;0;0;0
2021-08-02 23:27:19;7.21;28.99;0.5;0.39;26.3;36.9;0;0;0;0
2021-08-02 23:37:29;7.04;1.64;0.47;0.39;31.5;52.1;0;0;0;0
2021-08-02 23:47:41;0.0;1.43;0.53;0.48;80.7;134.5;0;0;0;0
2021-08-02 23:57:51;7.62;1.56;0.51;0.44;79.0;135.4;0;0;0;0
2021-08-03 00:08:02;7.9;1.43;0.55;0.41;56.8;98.8;0;0;0;0
2021-08-03 00:18:13;7.21;0.0;0.57;0.37;44.5;68.9;0;0;0;0
2021-08-03 00:28:23;6.79;1.31;0.6;0.42;37.9;68.9;0;0;0;0
2021-08-03 00:38:35;6.98;1.29;0.0;0.35;31.5;46.6;0;0;0;0
2021-08-03 00:48:46;5.64;0.07;0.47;0.2;27.7;39.9;0;0;0;0
2021-08-03 00:59:03;5.78;1.49;0.53;0.41;25.1;50.0;0;0;0;0
2021-08-03 01:09:09;6.18;39.41;0.54;0.37;16.0;51.7;0;0;0;0
2021-08-03 01:19:23;5.92;1.26;0.49;0.01;23.4;46.8;0;0;0;0
2021-08-03 01:31:42;6.24;1.21;0.03;0.38;20.2;30.2;0;0;0;0
2021-08-03 01:41:47;5.99;40.55;0.0;0.4;24.4;35.8;0;0;0;0
2021-08-03 01:51:52;6.01;1.27;0.37;0.36;24.4;33.7;0;0;0;0
2021-08-03 02:01:56;6.09;1.29;0.42;0.39;25.5;36.3;0;0;0;0
2021-08-03 02:12:00;6.04;1.2;42.42;0.37;25.2;37.5;0;0;0;0
2021-08-03 02:22:04;6.13;42.5;0.37;0.38;25.8;39.6;0;0;0;0
2021-08-03 02:32:08;5.84;1.1;0.31;0.4;25.7;37.7;0;0;0;0
2021-08-03 02:42:12;6.18;1.12;0.28;0.42;25.9;37.3;0;0;0;0
2021-08-03 02:52:16;5.79;1.1;0.21;0.42;25.5;35.7;0;0;0;0
2021-08-03 03:02:20;5.98;1.18;0.26;0.03;25.2;35.3;0;0;0;0
2021-08-03 03:12:25;5.76;42.51;0.18;0.34;25.7;38.6;0;0;0;0
2021-08-03 03:22:29;5.15;1.49;26.97;0.31;26.1;41.6;0;0;0;0
2021-08-03 03:32:32;5.41;1.4;0.26;0.44;25.7;40.7;0;0;0;0
