created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2020-09-20 00:06:17 UTC,86,25.7,30.0,,,,,,,,,,
2020-09-20 00:06:48 UTC,87,30.3,41.2,,,,,,,,,,
2020-09-20 00:07:19 UTC,88,29.9,41.9,,,,,,,,,,
2020-09-20 00:07:50 UTC,89,21.3,29.6,,,,,,,,,,
2020-09-20 00:08:20 UTC,90,28.9,35.1,,,,,,,,,,
2020-09-20 00:08:51 UTC,91,30.7,35.8,,,,,,,,,,
2020-09-20 00:09:22 UTC,92,16.3,19.2,,,,,,,,,,
2020-09-20 00:09:52 UTC,93,31.1,41.9,,,,,,,,,,
2020-09-20 00:10:23 UTC,94,31.0,38.8,,,,,,,,,,
2020-09-20 00:10:55 UTC,95,16.8,22.0,,,,,,,,,,
2020-09-20 00:11:25 UTC,96,4369.1,1094.4,,,,,,,,,,
2020-09-20 00:11:56 UTC,97,29.7,33.4,,,,,,,,,,
2020-09-20 00:12:27 UTC,98,27.7,33.2,,,,,,,,,,
2020-09-20 00:12:58 UTC,99,29.9,42.2,,,,,,,,,,
2020-09-20 00:13:28 UTC,100,31.2,43.0,,,,,,,,,,
2020-09-20 00:13:59 UTC,101,28.9,38.0,,,,,,,,,,
2020-09-20 00:14:45 UTC,102,30.6,40.4,,,,,,,,,,
2020-09-20 00:15:31 UTC,103,32.5,65.2,,,,,,,,,,
2020-09-20 00:16:01 UTC,104,30.9,62.8,,,,,,,,,,
2020-09-20 00:16:47 UTC,105,31.0,49.9,,,,,,,,,,
2020-09-20 00:17:18 UTC,106,28.6,52.8,,,,,,,,,,
2020-09-20 00:17:54 UTC,107,29.9,63.5,,,,,,,,,,
2020-09-20 00:18:25 UTC,108,29.3,57.6,,,,,,,,,,
2020-09-20 00:18:56 UTC,109,25.0,35.2,,,,,,,,,,
2020-09-20 00:19:27 UTC,110,2227.3,792.4,,,,,,,,,,
2020-09-20 00:19:57 UTC,111,28.6,44.9,,,,,,,,,,
2020-09-20 00:20:28 UTC,112,27.6,50.3,,,,,,,,,,
2020-09-20 00:20:59 UTC,113,22.5,42.8,,,,,,,,,,
2020-09-20 00:21:29 UTC,114,27.9,48.3,,,,,,,,,,
2020-09-20 00:22:00 UTC,115,24.5,62.5,,,,,,,,,,
2020-09-20 00:22:31 UTC,116,10.2,17.1,,,,,,,,,,
2020-09-20 00:23:02 UTC,117,26.4,41.4,,,,,,,,,,
2020-09-20 00:23:32 UTC,118,25.2,35.6,,,,,,,,,,
2020-09-20 00:24:18 UTC,119,25.6,46.1,,,,,,,,,,
2020-09-20 00:24:49 UTC,120,27.3,48.1,,,,,,,,,,
2020-09-20 00:25:35 UTC,121,27.4,42.9,,,,,,,,,,
2020-09-20 00:26:05 UTC,122,24.3,47.0,,,,,,,,,,
2020-09-20 00:26:36 UTC,123,28.0,50.3,,,,,,,,,,
2020-09-20 00:27:07 UTC,124,27.6,45.0,,,,,,,,,,
2020-09-20 00:27:38 UTC,125,22.1,43.1,,,,,,,,,,
2020-09-20 00:28:08 UTC,126,25.8,43.2,,,,,,,,,,
2020-09-20 00:28:39 UTC,127,24.3,34.1,,,,,,,,,,
2020-09-20 00:29:10 UTC,128,19.0,27.3,,,,,,,,,,
2020-09-20 00:29:41 UTC,129,27.5,36.2,,,,,,,,,,
2020-09-20 00:30:12 UTC,130,27.0,39.6,,,,,,,,,,
2020-09-20 00:30:43 UTC,131,27.5,38.5,,,,,,,,,,
2020-09-20 00:31:13 UTC,132,27.9,37.5,,,,,,,,,,
2020-09-20 00:31:44 UTC,133,26.3,38.5,,,,,,,,,,
2020-09-20 00:32:15 UTC,134,26.6,36.7,,,,,,,,,,
2020-09-20 00:32:46 UTC,135,27.3,38.4,,,,,,,,,,
2020-09-20 00:33:17 UTC,136,25.3,35.1,,,,,,,,,,
2020-09-20 00:33:47 UTC,137,15.9,21.0,,,,,,,,,,
2020-09-20 00:34:18 UTC,138,27.0,34.0,,,,,,,,,,
2020-09-20 00:34:49 UTC,139,27.7,36.5,,,,,,,,,,
2020-09-20 00:35:20 UTC,140,11.5,18.0,,,,,,,,,,
2020-09-20 00:35:50 UTC,141,29.0,34.3,,,,,,,,,,
2020-09-20 00:36:21 UTC,142,25.5,33.2,,,,,,,,,,
2020-09-20 00:36:52 UTC,143,27.5,36.3,,,,,,,,,,
2020-09-20 00:37:23 UTC,144,26.5,36.0,,,,,,,,,,
2020-09-20 00:38:08 UTC,145,26.7,36.5,,,,,,,,,,
2020-09-20 00:38:39 UTC,146,24.7,27.6,,,,,,,,,,
2020-09-20 00:39:25 UTC,147,26.8,36.1,,,,,,,,,,
2020-09-20 00:39:55 UTC,148,25.3,31.4,,,,,,,,,,
2020-09-20 00:40:26 UTC,149,27.8,36.6,,,,,,,,,,
2020-09-20 00:40:57 UTC,150,26.5,34.4,,,,,,,,,,
2020-09-20 00:41:28 UTC,151,23.7,27.4,,,,,,,,,,
2020-09-20 00:41:58 UTC,152,27.4,37.5,,,,,,,,,,
2020-09-20 00:42:29 UTC,153,25.4,31.3,,,,,,,,,,
2020-09-20 00:43:00 UTC,154,19.9,33.8,,,,,,,,,,
2020-09-20 00:43:31 UTC,155,4369.1,224.0,,,,,,,,,,
2020-09-20 00:44:01 UTC,156,26.7,37.1,,,,,,,,,,
2020-09-20 00:44:32 UTC,157,27.1,31.4,,,,,,,,,,
2020-09-20 00:45:03 UTC,158,14.0,16.7,,,,,,,,,,
2020-09-20 00:45:34 UTC,159,26.2,29.3,,,,,,,,,,
2020-09-20 00:46:05 UTC,160,23.5,35.1,,,,,,,,,,
2020-09-20 00:46:35 UTC,161,27.1,34.4,,,,,,,,,,
2020-09-20 00:47:06 UTC,162,27.8,34.9,,,,,,,,,,
2020-09-20 00:47:37 UTC,163,24.8,29.8,,,,,,,,,,
2020-09-20 00:48:23 UTC,164,26.1,37.3,,,,,,,,,,
2020-09-20 00:48:54 UTC,165,26.1,35.4,,,,,,,,,,
2020-09-20 00:49:39 UTC,166,24.1,31.3,,,,,,,,,,
2020-09-20 00:50:10 UTC,167,21.7,25.4,,,,,,,,,,
2020-09-20 00:50:56 UTC,168,22.6,30.2,,,,,,,,,,
2020-09-20 00:51:27 UTC,169,18.0,25.7,,,,,,,,,,
2020-09-20 00:51:57 UTC,170,21.3,26.3,,,,,,,,,,
2020-09-20 00:52:28 UTC,171,22.2,28.2,,,,,,,,,,
2020-09-20 00:52:59 UTC,172,18.3,20.8,,,,,,,,,,
2020-09-20 00:53:30 UTC,173,22.1,25.7,,,,,,,,,,
2020-09-20 00:54:00 UTC,174,22.2,32.3,,,,,,,,,,
2020-09-20 00:54:31 UTC,175,18.1,30.4,,,,,,,,,,
2020-09-20 00:55:02 UTC,176,22.1,29.9,,,,,,,,,,
2020-09-20 00:55:33 UTC,177,21.5,27.5,,,,,,,,,,
2020-09-20 00:56:03 UTC,178,14.8,22.8,,,,,,,,,,
2020-09-20 00:56:34 UTC,179,24.3,37.4,,,,,,,,,,
2020-09-20 00:57:05 UTC,180,21.9,28.9,,,,,,,,,,
2020-09-20 00:57:51 UTC,181,24.0,30.6,,,,,,,,,,
2020-09-20 00:58:21 UTC,182,22.7,27.5,,,,,,,,,,
2020-09-20 00:59:07 UTC,183,24.3,37.2,,,,,,,,,,
2020-09-20 00:59:38 UTC,184,22.9,34.8,,,,,,,,,,
2020-09-20 01:00:09 UTC,185,24.1,36.5,,,,,,,,,,
2020-09-20 01:00:39 UTC,186,23.5,34.0,,,,,,,,,,
2020-09-20 01:01:10 UTC,187,19.5,27.7,,,,,,,,,,
2020-09-20 01:01:41 UTC,188,24.5,37.0,,,,,,,,,,
2020-09-20 01:02:12 UTC,189,24.5,32.6,,,,,,,,,,
2020-09-20 01:02:42 UTC,190,20.0,27.6,,,,,,,,,,
2020-09-20 01:03:13 UTC,191,24.4,31.3,,,,,,,,,,
2020-09-20 01:03:44 UTC,192,22.7,31.3,,,,,,,,,,
2020-09-20 01:04:15 UTC,193,14.7,21.1,,,,,,,,,,
2020-09-20 01:04:45 UTC,194,25.8,33.3,,,,,,,,,,
2020-09-20 01:05:16 UTC,195,23.3,28.2,,,,,,,,,,
2020-09-20 01:06:02 UTC,196,24.1,29.3,,,,,,,,,,
2020-09-20 01:06:33 UTC,197,21.8,26.3,,,,,,,,,,
2020-09-20 01:07:04 UTC,198,24.8,29.9,,,,,,,,,,
2020-09-20 01:07:34 UTC,199,25.6,32.5,,,,,,,,,,
2020-09-20 01:08:05 UTC,200,23.7,28.1,,,,,,,,,,
2020-09-20 01:08:51 UTC,201,25.1,30.4,,,,,,,,,,
2020-09-20 01:09:22 UTC,202,25.4,31.9,,,,,,,,,,
2020-09-20 01:10:08 UTC,203,24.6,32.1,,,,,,,,,,
2020-09-20 01:10:38 UTC,204,22.1,27.2,,,,,,,,,,
2020-09-20 01:11:09 UTC,205,25.2,28.7,,,,,,,,,,
2020-09-20 01:11:40 UTC,206,25.0,34.9,,,,,,,,,,
2020-09-20 01:12:11 UTC,207,21.6,24.1,,,,,,,,,,
2020-09-20 01:12:41 UTC,208,23.9,28.0,,,,,,,,,,
2020-09-20 01:13:12 UTC,209,24.7,31.9,,,,,,,,,,
2020-09-20 01:13:43 UTC,210,19.4,22.0,,,,,,,,,,
2020-09-20 01:14:14 UTC,211,25.0,32.3,,,,,,,,,,
2020-09-20 01:14:44 UTC,212,25.0,29.8,,,,,,,,,,
2020-09-20 01:15:15 UTC,213,9.3,10.3,,,,,,,,,,
2020-09-20 01:15:46 UTC,214,25.1,30.4,,,,,,,,,,
2020-09-20 01:16:17 UTC,215,22.9,26.6,,,,,,,,,,
2020-09-20 01:17:02 UTC,216,25.2,31.6,,,,,,,,,,
2020-09-20 01:17:33 UTC,217,22.3,27.1,,,,,,,,,,
2020-09-20 01:18:19 UTC,218,24.7,27.7,,,,,,,,,,
2020-09-20 01:18:50 UTC,219,21.9,27.2,,,,,,,,,,
2020-09-20 01:19:21 UTC,220,24.6,31.1,,,,,,,,,,
2020-09-20 01:19:51 UTC,221,24.2,28.3,,,,,,,,,,
2020-09-20 01:20:22 UTC,222,20.1,22.3,,,,,,,,,,
2020-09-20 01:20:53 UTC,223,23.7,29.8,,,,,,,,,,
2020-09-20 01:21:24 UTC,224,24.2,28.6,,,,,,,,,,
2020-09-20 01:21:54 UTC,225,20.4,22.8,,,,,,,,,,
2020-09-20 01:22:25 UTC,226,24.7,30.3,,,,,,,,,,
2020-09-20 01:22:56 UTC,227,25.1,31.4,,,,,,,,,,
2020-09-20 01:23:27 UTC,228,20.1,23.3,,,,,,,,,,
2020-09-20 01:23:57 UTC,229,25.2,29.0,,,,,,,,,,
2020-09-20 01:24:28 UTC,230,25.0,36.7,,,,,,,,,,
2020-09-20 01:24:59 UTC,231,25.7,33.1,,,,,,,,,,
